Euronet,HDFC,H02815,P3ECCT02,"At-Japkud(Jaguliapada),Po-Mahanapur,,Dist-Cuttack,Pin-754201",Cuttack,Orissa,East,Chest Door Open ATM1 015,10.126.36.235,Hikvision,,
Euronet,HDFC,H03513,P3ENPT73,"Bazar samiti road ,new bahadurpur area, Rajendra nagar ,patna ,bihar ,800016",Patna,Bihar,East,ATM1 Removal 005,172.51.0.3 ,Hikvision,,
Hitachi,ICICI,-,SPCPR116,"AT/PO-THAKURGARH,GANESH BAZAR,DIST-ANGUL,PIN-759125,ODISHA.",ANGUL,Orissa,East,Backroom Door Open Sensor 004,172.55.2.195,Hikvision,,
Euronet,HDFC,H05449,P3ENOD46,"AT/PO/PS-GOBARA,DIST-Ganjam,Odisa 761124-",Joda,Orissa,East,Main Door shutter Normally NO type 004,10.109.11.2,CPPLUS_INDIGO,,
Hitachi,BOI,201368627,ZKL8050,"Chapra Sendanga Bazar, P.O-Sendanga, P.S -Ashoke Nagar,Dist – (N) 24 Pgs ",Adra,West Bengal,East,Zone 003/ 005/ 008/ 014/ 022/ 027,172.55.27.160,UNV,,
Hitachi,PNB,-,B1608300,"PNB OLD GT ROAD,DIST.-AURANGABAD",Aurangabad,Bihar,East,Glass Break Sensor 011 / vibration 012,172.55.28.48,Hikvision_Nvr,,
Hitachi,PNB,-,A1078510,PUNJAB NATIONAL BANK BRANCH RANCHI UNIVERSITY CAMPUS KUTCHERY ROAD,Ranchi,Jharkhand,East,Glass Break Sensor 011 / vibration 012,172.55.28.53,UNV,,
Hitachi,BOI,201364613,ZHB9047,"Boi Hirodih, Opp Hirodih Rly Station At-Hirodih,Po-Hirodih,Jianagar Koderma Jharkhand 825409",Hazaribag,Jharkhand,East,ATM 1/2 Hood Door Sensor 025,172.55.24.72,UNV,,
Hitachi,BOI,201364593,ZGW9028,"N.S.Avenue, Hialikandi Road, Opposite Green View Nurshing Home,Rangirjhari,Silchar,Assam-788005",Silchar,Assam,East,Glass Break Sensor 002,172.55.21.183,Dahuva,,
Euronet,HDFC,H05717,P3ENPT87,"Indira Chowk, Ward No 15, Bettiah - 845438",Bettiah,Bihar,East,ATM 1 Thermal/ Heat 007,10.109.11.167,CPPLUS_INDIGO,,
Hitachi,BOI,201369129,ZND8043,"A 174, Main Market, Hari Nagar",Delhi,Delhi,North, Chest Door ATM2   016,172.55.27.68,UNV,,
Euronet,HDFC,-,P3ENND40,"Shop No-2,Surajpur Chowk, Dadri Road, Surajpur, Gr.Noida - 201306",Greater Noida,Uttar Pradesh,North,Panel Tamper Switch 034 / Main door shutter 004,172.51.2.131,CPPLUS_INDIGO,,
